id,tweet_id,user_screen_name,user_id,collection,text
90,292240199981879296,billyptx,406686963,tx_secession,CongratsUSA
91,291989387888177153,billyptx,406686963,tx_secession,homercall
92,285015084705648641,billyptx,406686963,tx_secession,fiscalcliff
93,275677739200155648,billyptx,406686963,tx_secession,MY2K
94,271980283027394560,billyptx,406686963,tx_secession,FunniestTweetFromThanksgiving
95,271770551805153282,billyptx,406686963,tx_secession,lolcowboys
96,271764498862456833,billyptx,406686963,tx_secession,turkeytrot
97,271764498862456833,billyptx,406686963,tx_secession,indiantacos
98,271764498862456833,billyptx,406686963,tx_secession,turkey
99,271092949188755457,billyptx,406686963,tx_secession,hitmewithyourbestshot
100,271092573941149697,billyptx,406686963,tx_secession,survivor
101,271062470829953024,billyptx,406686963,tx_secession,hitmewithyourbestshot
